n_train_catalysts,seed,mean_train_yield,test_mae
5.0,0.0,15.656944444444445,8.907966820987653
5.0,1.0,21.995555555555555,13.487844650205762
5.0,2.0,12.137129629629628,15.019509945130316
5.0,3.0,15.298888888888888,12.051897119341561
5.0,4.0,16.49425925925926,13.04989664282161
5.0,5.0,15.190740740740742,13.533151577503428
5.0,6.0,19.635277777777777,12.70302443415638
5.0,7.0,21.13222222222222,16.759131799701507
5.0,8.0,15.425555555555555,12.493433127572017
5.0,9.0,19.608055555555556,11.4570658436214
5.0,10.0,18.971018518518516,11.067383144718793
5.0,11.0,21.110000000000003,12.534185185185187
5.0,12.0,20.530185185185182,10.548607510288065
5.0,13.0,25.99055555555556,9.03045524691358
5.0,14.0,18.260833333333334,8.867331790123458
5.0,15.0,12.907499999999999,17.28350462962963
5.0,16.0,20.86601851851852,10.638842764060357
5.0,17.0,12.924074074074074,12.193453360768174
5.0,18.0,19.063425925925927,12.010742884087792
5.0,19.0,19.70314814814815,10.0818969478738
5.0,20.0,17.09703703703704,11.89366632373114
5.0,21.0,22.100092592592592,13.174721364883403
5.0,22.0,18.411666666666665,11.602541666666667
5.0,23.0,21.653240740740742,10.372719907407408
5.0,24.0,24.805462962962963,11.181525548696845
5.0,25.0,15.287222222222223,13.309158950617284
5.0,26.0,14.855092592592593,12.067507287379973
5.0,27.0,16.93416666666667,9.745862654320987
5.0,28.0,21.08277777777778,10.731290637860083
5.0,29.0,21.37324074074074,11.559883573388204
5.0,30.0,21.383148148148152,15.034984903847803
5.0,31.0,18.613888888888887,11.591283436213992
5.0,32.0,15.20648148148148,11.710617283950617
5.0,33.0,15.152037037037038,8.651276920438958
5.0,34.0,16.925277777777776,10.425578446502058
5.0,35.0,20.933518518518518,10.643570816186557
5.0,36.0,14.737164040778499,14.491291233309305
5.0,37.0,15.370092592592593,11.398846021947875
5.0,38.0,15.09,12.401657407407406
5.0,39.0,23.15462962962963,11.49261789580224
5.0,40.0,24.949259259259257,12.495451989026064
5.0,41.0,22.385740740740744,10.511435528120712
