seed,n_train_catalysts,n_train_samples,n_test_samples,cv_mae_mean,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse,hp_n_estimators,hp_learning_rate,hp_max_depth,hp_subsample,hp_colsample_bytree,hp_reg_alpha,hp_reg_lambda,hp_gamma,hp_min_child_weight
0,105,22680,2160,0.09181437406802109,0.8366635819141557,0.027161546206302182,0.05579381805595174,0.022026008943484054,0.11059603618010222,0.13388644423451948,350,0.05,6,0.7,0.8,0.5,1.0,0.0,3
57,105,22680,2160,0.0923495366548402,0.8336391459414441,0.02639628921837508,0.05632861212425042,0.01648292846410737,0.10381277739737832,0.13149549049271858,350,0.05,6,0.9,0.8,0.5,0.5,0.0,2
88,105,22680,2160,0.09719096327795575,0.7704387484918634,0.03652884017326043,0.06639693217115772,0.39227262827925324,0.08480344575378458,0.10095512599909566,350,0.02,6,0.7,0.8,0.0,0.5,0.0,1
32,105,22680,2160,0.09569210096964541,0.8530039747970596,0.024907731231542662,0.053078779206340826,0.06316352864227692,0.1063771781285301,0.12788751271658613,350,0.1,6,0.7,0.8,0.5,2.0,0.0,1
87,105,22680,2160,0.0963489848940741,0.7855440237197997,0.034378542042674,0.06493903453613989,0.34766369467265523,0.07217578976582234,0.08635898888966713,100,0.1,6,0.9,0.8,0.5,1.0,0.0,3
62,105,22680,2160,0.09581229023712153,0.806978897272667,0.031275953811146125,0.06029143663133895,0.29553251006037407,0.09895498015673618,0.12141774782393358,100,0.1,6,0.9,0.8,0.5,0.5,0.0,2
30,105,22680,2160,0.09750744366069167,0.8045419570661864,0.030542798690343334,0.061021327287356396,0.24914338461238938,0.09460076586453173,0.117814779911111,700,0.02,6,0.7,0.8,0.5,2.0,0.0,3
34,105,22680,2160,0.09531469865675025,0.8970340020432674,0.0182926652675471,0.04333760036459807,0.23424245580107217,0.11248204414778673,0.13815387772077767,350,0.05,10,0.7,0.8,0.5,0.5,0.0,2
51,105,22680,2160,0.09498044141122945,0.7950880927571286,0.032513533939535634,0.06226777590995227,0.13375525441303715,0.10381747536814899,0.1300079686470217,100,0.1,6,0.7,0.8,0.5,2.0,0.0,1
41,105,22680,2160,0.09840415591878189,0.7620332241806095,0.03742025638809269,0.06819979960654572,0.2559757088345668,0.0813710429172882,0.10027528721721118,350,0.02,6,0.7,0.8,0.5,2.0,0.0,1
71,105,22680,2160,0.09423011466918263,0.8808583027045853,0.020478267695876934,0.04823408149542533,0.026743675744791418,0.08630826727908772,0.10458782391590495,700,0.02,10,0.7,0.8,0.5,0.5,0.0,3
43,105,22680,2160,0.09675904840045142,0.7728217462166965,0.036423137259239825,0.06599859780221774,0.1277658278926005,0.10444489471511285,0.12318375299264105,350,0.02,6,0.9,0.8,0.0,1.0,0.0,1
35,105,22680,2160,0.09552019408387209,0.8781367416604816,0.020473638304420796,0.04801478290925848,0.292270279392265,0.0924597211271273,0.1137597002046453,700,0.02,10,0.7,0.8,0.5,2.0,0.0,1
54,105,22680,2160,0.09524887214927116,0.8793322732344727,0.0204444116910273,0.048078979802146926,0.13704515658096084,0.09813945893035096,0.11674914374328199,700,0.02,10,0.7,0.8,0.5,0.5,0.0,2
31,105,22680,2160,0.09823429116673046,0.9184389209281398,0.016701045629175834,0.039884492657327845,0.27073765377847037,0.08298397808929556,0.10088428780990422,350,0.02,10,0.7,0.8,0.0,0.5,0.0,2
28,105,22680,2160,0.09300527564748792,0.8261265466791922,0.028677804361376753,0.05874709996157136,0.17577810133683835,0.07142657805802825,0.09061793139177157,350,0.05,6,0.9,0.8,0.5,0.5,0.0,2
52,105,22680,2160,0.10171640724457062,0.8148026781756622,0.029469606508001168,0.05977981815016702,0.335310027091798,0.0798273380777153,0.10122233947983314,700,0.02,6,0.7,0.8,0.5,0.5,0.0,3
86,105,22680,2160,0.09720233837189592,0.8967749051569625,0.019242810090096922,0.04443601102682055,0.2178533921128758,0.08596414946878003,0.1169242247743168,100,0.05,10,0.9,0.8,0.0,1.0,0.0,2
76,105,22680,2160,0.09541585251801898,0.7552468626742019,0.038297778533100346,0.06874384402274421,0.18254760601156206,0.09228199466656666,0.10832936171499424,350,0.02,6,0.9,0.8,0.5,2.0,0.0,1
