n_train_catalysts,seed,mean_train_yield,test_mae
5.0,0.0,23.050682534583334,11.284239440856481
5.0,1.0,19.21003460187963,13.412474063894805
5.0,2.0,23.603512499648147,14.028217447816631
5.0,3.0,23.18852000826852,12.112828944212216
5.0,4.0,21.981315964916664,14.564815805503626
5.0,5.0,17.122507187370367,10.273712639560665
5.0,6.0,18.798567777398144,10.614856819557895
5.0,7.0,17.708051536916663,12.111581051270756
5.0,8.0,21.44226268848148,13.491627831421193
5.0,9.0,16.55382723308333,13.27813258591466
5.0,10.0,16.862448726916664,12.666467251054012
5.0,11.0,13.021274719999997,10.245097940037036
5.0,12.0,18.950729657268514,12.47336577578665
5.0,13.0,14.937786204324071,9.247379658024125
5.0,14.0,22.09083574738889,13.624600245263993
5.0,15.0,20.72621878684259,12.268941856932072
5.0,16.0,23.3476856172037,11.315532912580643
5.0,17.0,27.043598506805555,13.395552716647506
5.0,18.0,20.471323194824073,11.73140425762535
5.0,19.0,20.24254806619444,10.710931945686472
5.0,20.0,17.502127299787034,8.227020992596888
5.0,21.0,15.278265752703703,10.335585200723456
5.0,22.0,23.643747767462962,13.76104975590866
5.0,23.0,23.87623772409259,14.011108719238752
5.0,24.0,17.39285249784259,9.654121527897763
5.0,25.0,19.916407129620367,10.238696160219076
5.0,26.0,13.027191081851848,10.912374699978567
5.0,27.0,26.698144105712963,12.627556277593596
5.0,28.0,25.349836861620368,10.997921891314473
5.0,29.0,17.7338606027037,11.126868320459705
5.0,30.0,18.800024974805552,11.730133864449561
5.0,31.0,10.08505709349074,12.004698256140998
5.0,32.0,20.1585156754537,11.231491348044205
5.0,33.0,9.959701688018518,10.154431931160117
5.0,34.0,19.1228012739537,13.758152622270414
5.0,35.0,13.055453655916665,13.682776098785725
5.0,36.0,21.67968554925,14.23592144641597
5.0,37.0,17.664186098833333,7.81528884881389
5.0,38.0,11.518482726999999,16.702968774958332
5.0,39.0,18.23486409446296,10.466164013335597
5.0,40.0,20.855161265648146,12.122344787459449
5.0,41.0,16.672322052731477,9.95351725073491
5.0,42.0,13.658723007064813,10.668938725459379
