model_type,feature_set,augmentation,n_train_catalysts,n_val_catalysts,n_test_catalysts,seed,r2,mae,mse,condition,test_catalyst_0,test_catalyst_1,test_catalyst_2,test_catalyst_3,test_catalyst_4,test_catalyst_5,test_catalyst_6,test_catalyst_7,test_catalyst_8,test_catalyst_9,mae_test_catalyst_0,mae_test_catalyst_1,mae_test_catalyst_2,mae_test_catalyst_3,mae_test_catalyst_4,mae_test_catalyst_5,mae_test_catalyst_6,mae_test_catalyst_7,mae_test_catalyst_8,mae_test_catalyst_9,training_time,ranking_top_3_accuracy,ranking_spearman_corr,shap_Temp,shap_CT,shap_CH4/O2,shap_Ar_flow,shap_O2_flow,shap_CH4_flow,shap_Total_flow,shap_M1_mol%,shap_M2_mol%,shap_M3_mol%,shap_M1_atom_number,shap_M2_atom_number,shap_M3_atom_number,shap_M1_electronegativity,shap_M1_inverse_ionization,shap_M1_d_electron_count,shap_M1_ionic_radius,shap_M1_oxidation_state,shap_M2_electronegativity,shap_M2_inverse_ionization,shap_M2_d_electron_count,shap_M2_ionic_radius,shap_M2_oxidation_state,shap_M3_electronegativity,shap_M3_inverse_ionization,shap_M3_d_electron_count,shap_M3_ionic_radius,shap_M3_oxidation_state,shap_support_surface_area,shap_Support_ID,true_yield_max_test_catalyst_0,true_yield_max_test_catalyst_1,true_yield_max_test_catalyst_2,true_yield_max_test_catalyst_3,true_yield_max_test_catalyst_4,true_yield_max_test_catalyst_5,true_yield_max_test_catalyst_6,true_yield_max_test_catalyst_7,true_yield_max_test_catalyst_8,true_yield_max_test_catalyst_9,pred_yield_max_test_catalyst_0,pred_yield_max_test_catalyst_1,pred_yield_max_test_catalyst_2,pred_yield_max_test_catalyst_3,pred_yield_max_test_catalyst_4,pred_yield_max_test_catalyst_5,pred_yield_max_test_catalyst_6,pred_yield_max_test_catalyst_7,pred_yield_max_test_catalyst_8,pred_yield_max_test_catalyst_9
xgboost,base+descriptors,yes,0,0,10,280,-2.6854174362588124,5.171959322680202,32.46681952483114,750,Co-Na2WO4/SiO2,Eu-Na2WO4/SiO2,Hf-Na2WO4/SiO2,La-Na2WO4/SiO2,Mn-K2MoO4/SiO2,Mn-Na2WO4/BEA,Na2WO4/SiO2,Ni-Na2WO4/SiO2,SiC,ZrO2,5.307825239433182,5.116991124958904,5.108291287935442,4.253863190478749,6.86936641500504,5.138857338251891,6.960926485834298,5.841003330162278,3.610157400593162,3.5123114141490723,300.6923360824585,0.3333333333333333,0.5878787878787878,3.3664136,0.04464235,0.42507932,0.4310342,0.25233716,0.088229224,0.034423772,0.051148858,0.035527367,0.04147021,,,,0.058859143,0.100712754,0.029701281,0.13515393,0.04820337,0.06262572,0.093332216,0.029914774,0.1449204,0.04234095,0.05717033,0.0948769,0.030421503,0.15905403,0.04540247,0.0994211,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,281,-1.48534089326382,4.401176144667957,25.020353788954505,750,Eu-Na2WO4/SiO2,La-Na2WO4/SiO2,Mn-K2MoO4/SiO2,Mn-Li2MoO4/SiO2,Mn-WOx/SiO2,Mn-ZnMoO4/SiO2,SiCnf,Ti-Na2WO4/SiO2,Y-Na2WO4/SiO2,Zr-Na2WO4/SiO2,5.10543437210498,4.254888340422401,6.858751480303429,4.354018739977921,3.5752002158788616,3.2606911258553413,1.0460313507914545,7.148023768166701,3.751731439671583,4.6569906135069,246.7013761997223,0.3333333333333333,0.6,3.3043327,0.08720463,0.3895924,0.39931178,0.28843316,0.0737629,0.010244288,0.053182367,0.035755605,0.023905257,,,,0.08620824,0.16596127,0.03922203,0.1440447,0.05273604,0.08597153,0.18105468,0.032346956,0.14484714,0.0420768,0.07860374,0.16219303,0.0323811,0.15938534,0.043918464,0.061888278,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,282,-1.6916663722671137,3.892492023165165,23.401541338083533,750,La-Na2WO4/SiO2,Mn-BaWO4/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/BN,Mn-Na2WO4/MgO,Mn-Na2WO4/SiC,SiO2,ZSM-5,Zn-Na2WO4/SiO2,4.255649392671056,2.3504511430818176,5.685561566871625,5.138077765349989,1.2143434153993922,5.178414348474256,7.477494042736513,2.0532597618632846,1.7862993736068409,3.7853694215968807,211.86367654800412,0.6666666666666666,0.5878787878787878,3.0021405,0.059488624,0.3499333,0.42276904,0.33592013,0.11709596,0.026405286,0.05550541,0.037404563,0.024567075,,,,0.053914838,0.07346484,0.033297505,0.16760911,0.06396691,0.05214678,0.0644495,0.037977684,0.15407628,0.055097766,0.04019526,0.0709809,0.03588831,0.1615532,0.06555565,0.41033933,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,283,-0.9966830956702424,4.081260132124337,24.990675740144344,750,Cu-Na2WO4/SiO2,Hf-Na2WO4/SiO2,Mn-K2MoO4/SiO2,Mn-Li2MoO4/SiO2,Mn-MgWO4/SiO2,Mn-Na2WO4/ZSM-5,Na/SiO2,Nb2O5,SiC,ZSM-5,2.3574105469389237,5.117273419124109,6.857432174677098,4.345479197422112,6.371543131338226,6.509498958212358,1.840053152453016,2.0227909901075893,3.621682609551483,1.769437141418457,219.7301321029663,1.0,0.7575757575757575,3.2265131,0.078183636,0.38290614,0.3775571,0.3346881,0.068006605,0.023206461,0.08704322,0.09640773,0.053741843,,,,0.07675378,0.0690699,0.054487497,0.15214384,0.053780466,0.084262915,0.08225302,0.05523926,0.12780909,0.060573127,0.09461038,0.055895012,0.04547007,0.13970102,0.053162463,0.29418626,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,284,-1.4439139746205552,3.753878120527982,18.995726105161324,750,BEA,BN,Co-Na2WO4/SiO2,Cu-Na2WO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/MgO,Mn-Na2WO4/SiCnf,WOx/SiO2,ZrO2,2.4471482438014616,3.1130674630776047,5.30722861735909,2.3538037629280653,5.308028657192157,2.819973673034045,5.16291749721876,5.726443017136168,1.798300895276997,3.501869378255473,283.6257758140564,1.0,0.8181818181818182,3.1135473,0.10306029,0.38142306,0.32434797,0.36666548,0.089903414,0.005510305,0.11213827,0.050860662,0.06348074,,,,0.06915375,0.06450369,0.065182425,0.10907745,0.05583475,0.049706925,0.05741508,0.056855656,0.14428262,0.0551063,0.04532712,0.085257456,0.06341553,0.11330757,0.08152478,0.37773624,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,285,-1.551862477899216,4.542300152416858,30.693907768743337,750,CeO2,Mn-FeMoO4/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/MgO,Mn-Na2WO4/TiO2,Ni-Na2WO4/SiO2,SiC,SiCnf,TiO2,Zr-Na2WO4/SiO2,4.106247656775846,2.003662891158903,5.6668946761113625,5.160103456251047,10.486768551761353,5.843152515259054,3.625865669730637,0.9563437040978008,2.9320446899036567,4.641917713118924,261.17222476005554,0.6666666666666666,0.4666666666666666,3.2557406,0.13473381,0.30416209,0.32110998,0.41337618,0.066096075,0.009474513,0.08810269,0.073521934,0.018352626,,,,0.054339174,0.08731959,0.02692833,0.15565722,0.05850864,0.060748525,0.075236216,0.024848312,0.15827133,0.056730524,0.061542507,0.095212705,0.03140946,0.1569092,0.05485363,0.2944561,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,286,-1.0606847531405783,3.7785576023100704,21.54327180893976,750,Mn-FeMoO4/SiO2,Mn-Li2WO4/SiO2,Mn-Na/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/BEA,Mn-Na2WO4/Nb2O5,Mn-Na2WO4/SiO2,Pd-Na2WO4/SiO2,SiCnf,Zn-Na2WO4/SiO2,2.0106814633613386,5.297329699581971,2.8105703699312827,2.809042296735225,5.129825153483285,2.6937029312937346,7.989866339006911,4.326905530227555,0.9517368917332756,3.765915347746125,347.74968934059143,0.6666666666666666,0.6727272727272726,3.0817187,0.05363239,0.34988695,0.42998305,0.39876366,0.09323937,0.007692652,0.07035198,0.02515024,0.04136016,,,,0.044657648,0.07442418,0.059765108,0.13668405,0.049323253,0.04398247,0.045791723,0.05392791,0.15102267,0.074399084,0.038208205,0.049944334,0.06800072,0.12736604,0.06497978,0.28792283,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,287,-0.7989684572050064,3.472142160957886,19.117661279862148,750,BN,CeO2,Mn-MgWO4/SiO2,Mn-MoOx/SiO2,Mn-Na2WO4/BN,Na2WO4/SiO2,Pd-Na2WO4/SiO2,SiC,TiO2,WOx/SiO2,3.136922802088989,4.108281510472298,6.340656522368943,0.2907914210635203,1.2046879804465505,6.988377506810206,4.323973010955033,3.602904259761175,2.9044526441312497,1.8203739514808963,269.1144914627075,0.6666666666666666,0.5878787878787878,2.7523332,0.1626994,0.29294392,0.2902576,0.44594708,0.082984194,0.015974242,0.18038817,0.08555805,0.14309391,,,,0.07113066,0.10398807,0.057972085,0.1396438,0.043913066,0.10204716,0.08963863,0.027956,0.20783344,0.045566007,0.05255941,0.10699827,0.037816145,0.16897815,0.032757614,0.1957732,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,288,-0.9364349805661158,3.988502401057079,22.373953585999335,750,BN,Co-Na2WO4/SiO2,La-Na2WO4/SiO2,Mn-K2WO4/SiO2,Mn-Li2WO4/SiO2,Mn-ZnMoO4/SiO2,Nd-Na2WO4/SiO2,V-Na2WO4/SiO2,WOx/SiO2,ZSM-5,3.200122699013187,5.306579714836897,4.24639408994604,7.962749083914139,5.295679970502301,3.271663120532477,4.619509452504141,2.371197328691681,1.818708562315614,1.7924199883143106,203.6927375793457,0.6666666666666666,0.8632258720256917,3.160223,0.11896922,0.37696734,0.39021948,0.35963616,0.08537467,0.010038436,0.06836802,0.07389411,0.037166428,,,,0.09497226,0.12136681,0.046269875,0.1543898,0.04579,0.08036675,0.14524731,0.036058724,0.17024697,0.053258747,0.08242889,0.11853063,0.038958102,0.15504892,0.05755347,0.07618907,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,0,0,10,289,-1.4828015580945526,3.9183443875396025,21.29796572023765,750,BEA,Ce-Na2WO4/SiO2,Fe-Na2WO4/SiO2,Hf-Na2WO4/SiO2,Mn-CaWO4/SiO2,Mn-FeMoO4/SiO2,Mn-K2MoO4/SiO2,Mn-Na2WO4/BEA,Mn-Na2WO4/ZrO2,Mn-WOx/SiO2,2.4534658182743523,4.961267461158611,4.085960612695285,5.115303642904317,1.5979846268864693,2.006853888939928,6.863022970337145,5.132475576527693,3.3892534339427947,3.577855843729426,225.2897608280182,0.3333333333333333,0.5757575757575757,3.199619,0.08588893,0.32803553,0.40282643,0.40033573,0.07505689,0.006449744,0.04450374,0.035768848,0.04604542,,,,0.051791143,0.117832266,0.02967046,0.15844741,0.059461832,0.060294442,0.117040075,0.029756753,0.1611645,0.061397657,0.07519443,0.12648074,0.02872093,0.14367266,0.051638316,0.10463971,,,,,,,,,,,,,,,,,,,,,
