n_train_catalysts,seed,mean_train_yield,test_mae
5.0,0.0,22.51978373125,12.500089689129627
5.0,1.0,24.427897404777774,12.656547414628703
5.0,2.0,20.594877738222216,10.030258737113066
5.0,3.0,20.14732286560185,9.995244460009904
5.0,4.0,23.286057189472217,11.812522829862553
5.0,5.0,26.567564367509256,11.424185277519694
5.0,6.0,21.34341924983333,11.069988205975463
5.0,7.0,26.38699948400926,10.134088991779656
5.0,8.0,21.989360176435184,9.846150561261702
5.0,9.0,21.152104041749997,10.79615912885625
5.0,10.0,26.495315287648147,10.545938798833898
5.0,11.0,15.46658450671296,10.61634185165089
5.0,12.0,19.212414205657403,12.743651651613991
5.0,13.0,23.00373955506481,10.07964155819032
5.0,14.0,26.409523631777773,12.142511247059051
5.0,15.0,27.203694403805553,10.978209657473611
5.0,16.0,29.36008753396296,11.824354876898834
5.0,17.0,27.34439762622222,10.931781727844958
5.0,18.0,24.41554914148148,9.033616810005487
5.0,19.0,22.25250886712037,8.652845054499528
5.0,20.0,26.991221403166666,11.338173937492748
5.0,21.0,22.00917576749074,8.966124961505145
5.0,22.0,33.6310414262037,13.922674671963991
5.0,23.0,26.9756747512037,11.316552647339249
5.0,24.0,24.540724378861107,10.611754667568313
5.0,25.0,27.404010833370364,11.284833740775685
5.0,26.0,16.109385818972218,10.258554923927752
5.0,27.0,29.610935843351843,10.8176206568792
5.0,28.0,28.187827944148147,9.734417210767148
5.0,29.0,24.544207117333332,9.292547511457718
5.0,30.0,25.76057708159259,10.784583892602333
5.0,31.0,22.10758039010185,10.149384366170576
5.0,32.0,25.56464573298148,11.94588915764465
5.0,33.0,19.61428261575926,8.711915061649828
5.0,34.0,26.449944517064814,10.866113428300883
5.0,35.0,23.30405171362037,11.368218030961874
5.0,36.0,22.333196990703698,8.165932086357511
5.0,37.0,22.142447267342593,8.495524017901337
5.0,38.0,18.411141648398146,11.053107685338846
5.0,39.0,24.326128322657407,12.124521814691178
5.0,40.0,26.101216795416665,9.106636399130016
5.0,41.0,21.85919148333333,11.705147930396604
5.0,42.0,22.13383233825,9.655757673406251
5.0,43.0,18.453916078379628,10.343173117370927
5.0,44.0,28.385552419638884,11.783169681565765
5.0,45.0,24.154585006685185,11.685877177963407
5.0,46.0,26.473251777027773,10.735824400817025
5.0,47.0,19.693718626990737,14.113868549052727
5.0,48.0,21.23288086461111,9.636291132178036
5.0,49.0,24.687438447185183,9.93885099002524
5.0,50.0,22.51211724636111,10.0672258570571
5.0,51.0,14.192232907546295,12.472128245276405
5.0,52.0,20.430123805388885,9.444896868707973
5.0,53.0,21.215972348092592,9.3917348137024
5.0,54.0,24.219662520759258,11.454204608445748
5.0,55.0,17.631802445518513,10.916316971415261
5.0,56.0,25.540514107444444,10.896213568342079
5.0,57.0,22.32463051947222,9.90847952055234
5.0,58.0,25.918804014138885,10.772092497436239
5.0,59.0,22.03025425675926,11.228106152997858
5.0,60.0,25.718423173490738,10.940731744727529
5.0,61.0,24.891902006425923,10.874269732392575
5.0,62.0,25.231533120638886,11.486141399857331
5.0,63.0,22.334341336277774,12.217064044346195
5.0,64.0,18.221469970583332,10.706198333321218
5.0,65.0,27.4383361299537,10.382978370170653
5.0,66.0,18.34324368962037,13.354161117207116
5.0,67.0,24.33197765885185,9.879853793772567
5.0,68.0,21.898555640768514,9.833560195214385
5.0,69.0,16.689704561416665,11.089681315406867
5.0,70.0,17.839327486953703,12.86481123503839
5.0,71.0,24.832504733138887,11.51764453721978
5.0,72.0,18.31418034449074,11.023614282070687
5.0,73.0,17.353993475870368,13.92411524212296
5.0,74.0,23.526152698129632,10.475742209498508
5.0,75.0,24.15843879200926,10.444935298252025
5.0,76.0,21.869922196370368,12.228805441870266
5.0,77.0,18.48141183907407,10.495048590807786
5.0,78.0,22.079747117648143,11.554161779755642
5.0,79.0,28.592650631499996,12.351861230377777
5.0,80.0,22.77730087199074,8.93927372746365
5.0,81.0,16.23442159848148,14.256531829789813
5.0,82.0,27.01194724750926,10.562910179164087
5.0,83.0,32.68969392015741,12.007354135271873
5.0,84.0,17.276544658166664,10.401241442143055
5.0,85.0,22.72753315811111,9.600447233652059
5.0,86.0,18.7820477979537,9.581557336641195
5.0,87.0,20.631831859398147,8.697220487669625
5.0,88.0,25.994622448268515,10.349303915755204
5.0,89.0,24.517800370314813,11.062001742777007
5.0,90.0,22.6526214414537,11.09765808862584
5.0,91.0,23.409679133907407,9.789717362485442
5.0,92.0,21.869886366620367,9.157551197426397
5.0,93.0,22.938611437388886,10.395000119480557
5.0,94.0,21.056147718148146,12.06083671851303
5.0,95.0,21.459149399046293,8.984977414124117
5.0,96.0,25.185708053814814,10.942623669224863
5.0,97.0,29.269113215731483,11.972367727143622
5.0,98.0,21.254018794546294,10.501602619885537
5.0,99.0,18.5184209817037,12.08970662552092
10.0,0.0,24.060473458819445,12.045508124972221
10.0,1.0,22.515973369398147,12.334913271672326
10.0,2.0,22.575414588259257,10.036335449747291
10.0,3.0,19.640514802611108,10.079917727370937
10.0,4.0,24.701837956884255,11.401709128174666
10.0,5.0,25.641159317736108,11.09746213973655
10.0,6.0,24.31868954557407,11.341447735965742
10.0,7.0,26.032663840666665,10.137386916394446
10.0,8.0,18.808610633875,11.478034074826041
10.0,9.0,21.056422235648142,10.819530745849026
10.0,10.0,26.98128363977315,10.561175677424682
10.0,11.0,22.06039750336574,9.92281088342533
10.0,12.0,20.53792813364352,12.234759432244543
10.0,13.0,26.08527258871759,11.227773353961142
10.0,14.0,25.027663123157406,11.707688652512536
10.0,15.0,28.488153141171292,11.219963270085655
10.0,16.0,28.898397650337962,11.608548887905213
10.0,17.0,27.561953996583327,11.005421207624305
10.0,18.0,23.15121753359722,9.179733502724872
10.0,19.0,21.542865320671297,8.865265670593597
10.0,20.0,25.970772828439813,11.046670275399322
10.0,21.0,22.502164415037036,8.949928246758882
10.0,22.0,27.492070785087964,11.030077563358013
10.0,23.0,22.603941198268515,11.693799405853413
10.0,24.0,22.167275570046293,10.497417426513374
10.0,25.0,25.439852447398145,10.831474348820421
10.0,26.0,19.922684933907405,9.384930935393657
10.0,27.0,22.76694091034722,11.287421887502573
10.0,28.0,26.10330944760648,8.871130907994026
10.0,29.0,25.31976563231944,9.322158148111484
10.0,30.0,22.660131217666663,10.18760526820895
10.0,31.0,21.125239465050925,10.355741473506777
10.0,32.0,21.43039934568518,12.928965141435613
10.0,33.0,19.055403205412034,8.816198552489379
10.0,34.0,23.710786421699073,11.428772127770529
10.0,35.0,21.42808922361574,11.612058904778786
10.0,36.0,21.327555190902775,8.301170667623134
10.0,37.0,23.661280938180553,8.92469325705135
10.0,38.0,24.50569512423611,10.812051593638309
10.0,39.0,25.75656774612963,12.236207859011866
10.0,40.0,25.13571097912037,8.881688933687071
10.0,41.0,23.5115496349213,11.805799884085525
10.0,42.0,22.620072811069445,9.570443949260904
10.0,43.0,20.087807619171297,10.148344683485776
10.0,44.0,26.774441247027777,11.310123384081637
10.0,45.0,25.17409152348611,11.319913528797995
10.0,46.0,22.134339096833333,10.743963991272684
10.0,47.0,19.861922891921292,14.030783661774029
10.0,48.0,22.858107874611107,9.587480765079322
10.0,49.0,20.68564569010648,9.591331252338845
10.0,50.0,24.765097522212958,9.93627834332969
10.0,51.0,16.608252391249998,11.133218900380786
10.0,52.0,20.62949842014815,9.362884047203396
10.0,53.0,24.3602582500787,9.125787299871536
10.0,54.0,20.880345476680553,12.779595818673803
10.0,55.0,21.00223506347685,10.510241519858136
10.0,56.0,23.736659236171295,10.380554550630368
10.0,57.0,21.118452678300923,10.302705949688931
10.0,58.0,22.258087954527774,10.722802810757896
10.0,59.0,23.012771488726848,11.334651039000535
10.0,60.0,22.444570543513887,11.670195537196335
10.0,61.0,22.56086376658796,10.157093103177491
10.0,62.0,22.8132705314537,11.759288563745764
10.0,63.0,23.72694756701389,11.84749291370589
10.0,64.0,21.70959627858796,10.26684755287082
10.0,65.0,23.744702581620366,9.659300909285921
10.0,66.0,24.023731045837962,11.748663889756108
10.0,67.0,22.77072477837037,9.802746107655006
10.0,68.0,21.226960495550923,9.839053171693502
10.0,69.0,15.595304783365739,11.544871874566173
10.0,70.0,22.326354361166665,11.315356139280711
10.0,71.0,23.445117175972218,11.169906612697531
10.0,72.0,24.977079832694443,12.109157672165509
10.0,73.0,21.238298699314814,12.104213610704816
10.0,74.0,23.541788547166664,10.476614591668671
10.0,75.0,22.825003051671295,10.335496450000244
10.0,76.0,22.822061800527774,12.050914136231484
10.0,77.0,20.72642002174074,9.693339575100172
10.0,78.0,21.25163215663426,11.62812218122395
10.0,79.0,26.254231579819443,11.98152982965257
10.0,80.0,21.792561941300928,8.744247703119601
10.0,81.0,24.451769237324072,10.819051254838127
10.0,82.0,25.710194317550922,10.009355199132333
10.0,83.0,25.870383617726848,10.124919694697375
10.0,84.0,18.952675398018517,9.99702240470744
10.0,85.0,20.551555861949076,9.255470959318888
10.0,86.0,23.76410092748148,10.354864692779389
10.0,87.0,23.537250085662034,8.94063309947976
10.0,88.0,24.24432504961111,9.676313093878603
10.0,89.0,21.03124049099537,12.075033830690543
10.0,90.0,23.481067208407403,11.02811597450432
10.0,91.0,21.04869646923148,9.836940796608566
10.0,92.0,23.443554605314816,9.901578061506706
10.0,93.0,20.870867684074074,10.425116876145061
10.0,94.0,21.098659614518517,12.047708481240605
10.0,95.0,20.553095555162038,9.002281539406036
10.0,96.0,28.968346313069443,11.976858765609697
10.0,97.0,27.214078703027777,10.965641998419366
10.0,98.0,22.25204441418981,10.539339888524562
10.0,99.0,20.260148538046295,11.336657638344702
15.0,0.0,23.440429661287034,12.216956968662844
15.0,1.0,22.286482885206787,12.302479371759437
15.0,2.0,21.60433243541358,10.006989121890038
15.0,3.0,20.211105129185185,9.985602477237963
15.0,4.0,23.951357236064812,11.610143243073688
15.0,5.0,23.36181813335802,10.47102898134656
15.0,6.0,22.728876073941358,11.158956616143263
15.0,7.0,23.424676725561724,10.38588916817391
15.0,8.0,21.315254395882715,10.150770092092696
15.0,9.0,23.689873612080245,10.321109608824823
15.0,10.0,26.352872456373454,10.544148514557284
15.0,11.0,22.57855012409877,9.968716905978946
15.0,12.0,22.322280250858018,11.660391896826065
15.0,13.0,25.100612545527774,10.813157425824409
15.0,14.0,25.684193688641972,11.902808230587219
15.0,15.0,26.92255303621296,10.938190104403592
15.0,16.0,25.268693762731477,10.30649953093287
15.0,17.0,25.288429132182095,10.385069748700309
15.0,18.0,23.920742962015428,9.078386047615066
15.0,19.0,23.409293438348758,8.384337010359728
15.0,20.0,25.141036639540125,10.853079859017807
15.0,21.0,23.030259441808642,8.954151682787238
15.0,22.0,26.70436236484259,10.832575127427255
15.0,23.0,23.084397673033944,11.60600225993582
15.0,24.0,20.721463484533945,10.562961862475317
15.0,25.0,25.248300703250003,10.800085499619446
15.0,26.0,22.419903989395056,9.279869958575228
15.0,27.0,21.61172572322839,11.612622222670666
15.0,28.0,25.465959710709875,8.677862102178013
15.0,29.0,23.244691460070985,9.331664136887998
15.0,30.0,22.67733721042592,10.189341798959653
15.0,31.0,22.461011527861103,10.085303542490047
15.0,32.0,20.39032759310185,13.261381144663838
15.0,33.0,21.794448963657405,8.46016316969676
15.0,34.0,22.45492517139506,11.807720777480498
15.0,35.0,18.845631892820986,12.149664487141381
15.0,36.0,21.13299119050926,8.335714959479295
15.0,37.0,25.21982530221913,9.519814985558847
15.0,38.0,24.976975844185183,10.862037901357134
15.0,39.0,23.325513802577163,12.088094145848936
