model_type,feature_set,augmentation,n_train_catalysts,n_val_catalysts,n_test_catalysts,seed,r2,mae,mse,condition,test_catalyst_0,test_catalyst_1,test_catalyst_2,test_catalyst_3,test_catalyst_4,test_catalyst_5,test_catalyst_6,test_catalyst_7,test_catalyst_8,test_catalyst_9,mae_test_catalyst_0,mae_test_catalyst_1,mae_test_catalyst_2,mae_test_catalyst_3,mae_test_catalyst_4,mae_test_catalyst_5,mae_test_catalyst_6,mae_test_catalyst_7,mae_test_catalyst_8,mae_test_catalyst_9,true_yield_max_test_catalyst_0,true_yield_max_test_catalyst_1,true_yield_max_test_catalyst_2,true_yield_max_test_catalyst_3,true_yield_max_test_catalyst_4,true_yield_max_test_catalyst_5,true_yield_max_test_catalyst_6,true_yield_max_test_catalyst_7,true_yield_max_test_catalyst_8,true_yield_max_test_catalyst_9,pred_yield_max_test_catalyst_0,pred_yield_max_test_catalyst_1,pred_yield_max_test_catalyst_2,pred_yield_max_test_catalyst_3,pred_yield_max_test_catalyst_4,pred_yield_max_test_catalyst_5,pred_yield_max_test_catalyst_6,pred_yield_max_test_catalyst_7,pred_yield_max_test_catalyst_8,pred_yield_max_test_catalyst_9,training_time,ranking_top_3_accuracy,ranking_spearman_corr,shap_Temp,shap_CT,shap_CH4/O2,shap_Ar_flow,shap_O2_flow,shap_CH4_flow,shap_Total_flow,shap_M1_mol%,shap_M2_mol%,shap_M3_mol%,shap_M1_atom_number,shap_M2_atom_number,shap_M3_atom_number,shap_Support_ID,shap_M1_electronegativity,shap_M1_inverse_ionization,shap_M1_d_electron_count,shap_M1_ionic_radius,shap_M1_oxidation_state,shap_M2_electronegativity,shap_M2_inverse_ionization,shap_M2_d_electron_count,shap_M2_ionic_radius,shap_M2_oxidation_state,shap_M3_electronegativity,shap_M3_inverse_ionization,shap_M3_d_electron_count,shap_M3_ionic_radius,shap_M3_oxidation_state,shap_support_surface_area,shap_M1_atom_number_0,shap_M1_atom_number_22,shap_M1_atom_number_23,shap_M1_atom_number_25,shap_M1_atom_number_26,shap_M1_atom_number_27,shap_M1_atom_number_28,shap_M1_atom_number_29,shap_M1_atom_number_30,shap_M1_atom_number_39,shap_M1_atom_number_40,shap_M1_atom_number_42,shap_M1_atom_number_46,shap_M1_atom_number_57,shap_M1_atom_number_58,shap_M1_atom_number_60,shap_M1_atom_number_63,shap_M1_atom_number_65,shap_M1_atom_number_72,shap_M2_atom_number_0,shap_M2_atom_number_3,shap_M2_atom_number_11,shap_M2_atom_number_12,shap_M2_atom_number_19,shap_M2_atom_number_20,shap_M2_atom_number_26,shap_M2_atom_number_30,shap_M2_atom_number_38,shap_M2_atom_number_56,shap_M3_atom_number_0,shap_M3_atom_number_42,shap_M3_atom_number_74,shap_Support_ID_2,shap_Support_ID_3,shap_Support_ID_4,shap_Support_ID_5,shap_Support_ID_6,shap_Support_ID_7,shap_Support_ID_8,shap_Support_ID_9,shap_Support_ID_10,shap_Support_ID_11,shap_Support_ID_12,shap_Support_ID_13,shap_Support_ID_14,shap_element_0,shap_element_3,shap_element_11,shap_element_12,shap_element_19,shap_element_20,shap_element_22,shap_element_23,shap_element_25,shap_element_26,shap_element_27,shap_element_28,shap_element_29,shap_element_30,shap_element_38,shap_element_39,shap_element_40,shap_element_42,shap_element_46,shap_element_56,shap_element_57,shap_element_58,shap_element_60,shap_element_63,shap_element_65,shap_element_72,shap_element_74,shap_support_2,shap_support_3,shap_support_4,shap_support_5,shap_support_6,shap_support_7,shap_support_8,shap_support_9,shap_support_10,shap_support_11,shap_support_12,shap_support_13,shap_support_14
xgboost,base+atom_numbers+support,yes,49,0,10,221,0.5444420459634709,2.445163446426392,7.39516747948737,,Ce-Na2WO4/SiO2,CeO2,Mn-BaWO4/SiO2,Mn-K2WO4/SiO2,Mn-Na2WO4/SiCnf,Mn-ZnMoO4/SiO2,Ni-Na2WO4/SiO2,TiO2,ZSM-5,Zr-Na2WO4/SiO2,3.766279684702555,2.380854377746582,0.3862587483723958,1.8315516726175949,1.533608125050863,4.707480456034343,2.797009919484457,3.2089007186889646,1.3765589904785158,2.463131771087646,14.57,7.01,6.07,10.96,12.34,7.61,13.64,2.97,3.28,12.36,10.803720315297443,4.629145622253418,5.6837412516276045,9.128448327382406,10.806391874949137,2.9025195439656577,10.842990080515545,6.178900718688965,4.656558990478516,9.896868228912354,12.288466691970823,0.6666666666666666,0.709090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178587406873703,0.1521029621362686,0.158172994852066,1.18876051902771,1.1900876760482788,1.188360333442688,0.4475651085376739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost,base+atom_numbers+support,no,49,0,10,221,0.5093671974848973,2.6398277101516725,7.964544825483387,,Ce-Na2WO4/SiO2,CeO2,Mn-BaWO4/SiO2,Mn-K2WO4/SiO2,Mn-Na2WO4/SiCnf,Mn-ZnMoO4/SiO2,Ni-Na2WO4/SiO2,TiO2,ZSM-5,Zr-Na2WO4/SiO2,3.5616486740112308,2.7602803802490232,1.6598976325988772,2.8369426345825204,3.1502130889892577,4.733199701309204,2.8161074066162115,1.7213166046142576,1.1740944099426271,1.984576568603515,14.57,7.01,6.07,10.96,12.34,7.61,13.64,2.97,3.28,12.36,11.00835132598877,4.249719619750977,4.410102367401123,8.12305736541748,9.189786911010742,2.876800298690796,10.823892593383787,4.691316604614258,4.454094409942627,10.375423431396484,7.603005886077881,1.0,0.7575757575757575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1605637371540069,1.0252304077148438,0.4326037466526031,0.5528048276901245,1.3041212558746338,0.939832866191864,0.3235223889350891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,yes,49,0,10,221,0.5029228204417757,2.6568087422053024,8.069157744899183,,Ce-Na2WO4/SiO2,CeO2,Mn-BaWO4/SiO2,Mn-K2WO4/SiO2,Mn-Na2WO4/SiCnf,Mn-ZnMoO4/SiO2,Ni-Na2WO4/SiO2,TiO2,ZSM-5,Zr-Na2WO4/SiO2,3.106908467610678,2.7190353965759275,2.4847087987264,1.324999135335288,3.407972183227539,3.0412304655710862,4.24165802637736,3.685483245849609,1.3539869499206545,1.2021047528584798,14.57,7.01,6.07,10.96,12.34,7.61,13.64,2.97,3.28,12.36,11.463091532389322,4.290964603424072,8.5547087987264,9.635000864664711,8.932027816772461,4.568769534428914,9.39834197362264,6.655483245849609,4.633986949920654,11.15789524714152,13.603802919387816,0.6666666666666666,0.7454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0340541638433933,0.0204285364598035,0.024155082181096,,,,,0.1482487618923187,0.3308991491794586,0.1191227883100509,0.6066421270370483,0.0924367979168891,0.1258485466241836,0.3469661176204681,0.1905205845832824,0.529956042766571,0.0919532477855682,0.1638453006744384,0.3186075091361999,0.1181829124689102,0.6392258405685425,0.0911387130618095,0.427462637424469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost,base+descriptors,no,49,0,10,221,0.4800210705639272,2.6273684978485106,8.440926637132023,,Ce-Na2WO4/SiO2,CeO2,Mn-BaWO4/SiO2,Mn-K2WO4/SiO2,Mn-Na2WO4/SiCnf,Mn-ZnMoO4/SiO2,Ni-Na2WO4/SiO2,TiO2,ZSM-5,Zr-Na2WO4/SiO2,3.985963172912598,2.1087772941589358,4.1640412139892575,0.738218345642089,2.9665153884887694,3.947237358093262,3.798251762390137,1.9312227058410645,1.6212227058410646,1.0122350311279291,14.57,7.01,6.07,10.96,12.34,7.61,13.64,2.97,3.28,12.36,10.584036827087402,4.9012227058410645,10.234041213989258,11.69821834564209,9.37348461151123,3.6627626419067374,9.841748237609863,4.9012227058410645,4.9012227058410645,11.34776496887207,8.288741111755371,0.6666666666666666,0.5583242384172624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.2355344295501709,0.1212986707687377,0.0,0.2554706335067749,0.0708831772208213,0.0,1.777483344078064,0.0,0.0,0.1286538392305374,0.0856968611478805,0.0,0.0639600530266761,0.8219874501228333,0.0,0.3416857123374939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost,all,yes,49,0,10,221,0.4255952739867066,2.7693548003832498,9.324431967961528,,Ce-Na2WO4/SiO2,CeO2,Mn-BaWO4/SiO2,Mn-K2WO4/SiO2,Mn-Na2WO4/SiCnf,Mn-ZnMoO4/SiO2,Ni-Na2WO4/SiO2,TiO2,ZSM-5,Zr-Na2WO4/SiO2,3.1997326087951663,2.04619909286499,2.999813887278238,1.7049891535441066,1.1438818041483554,3.495027050971985,5.832529678344727,3.468101291656494,2.1371953201293947,1.6660781160990386,14.57,7.01,6.07,10.96,12.34,7.61,13.64,2.97,3.28,12.36,11.370267391204834,4.96380090713501,9.069813887278238,12.664989153544107,11.196118195851644,4.114972949028015,7.807470321655273,6.438101291656494,5.4171953201293945,10.69392188390096,14.752100706100464,0.3333333333333333,0.5515151515151515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0409621596336364,0.0285669639706611,0.028123328462243,0.2526039183139801,0.2664517760276794,0.1971339583396911,0.4655966758728027,0.2255327999591827,0.4552316963672638,0.0925079584121704,0.4868619740009308,0.0948183089494705,0.2459436058998108,0.3558863699436188,0.0839661955833435,0.6048662662506104,0.1521651595830917,0.1787079721689224,0.416552871465683,0.1182505413889885,0.7086546421051025,0.0994552224874496,0.3646832704544067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost,all,no,49,0,10,221,0.5498410932706805,2.4455925941467287,7.307523616148549,,Ce-Na2WO4/SiO2,CeO2,Mn-BaWO4/SiO2,Mn-K2WO4/SiO2,Mn-Na2WO4/SiCnf,Mn-ZnMoO4/SiO2,Ni-Na2WO4/SiO2,TiO2,ZSM-5,Zr-Na2WO4/SiO2,3.6975739669799808,2.331504592895508,3.8877302932739255,0.4090137863159171,2.162026252746582,3.2881520843505863,3.9471422576904303,1.864778308868408,1.5547783088684084,1.3132260894775385,14.57,7.01,6.07,10.96,12.34,7.61,13.64,2.97,3.28,12.36,10.87242603302002,4.678495407104492,9.957730293273926,11.369013786315918,10.177973747253418,4.321847915649414,9.69285774230957,4.834778308868408,4.834778308868408,11.04677391052246,8.603257656097412,0.6666666666666666,0.5471149893120582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039661206305027,0.0,0.0565992072224617,0.1924040615558624,0.652978241443634,0.3016696870326996,0.2568928003311157,0.1271740943193435,0.0190917775034904,0.0298086591064929,0.043434515595436,0.0,1.7283235788345337,0.0,0.0528088323771953,0.0322206020355224,0.0122499344870448,0.0,0.0,0.1568508893251419,0.0,0.1992602795362472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost,one_hot,yes,49,0,10,221,0.6185898549218154,2.3733100814819337,6.191510599774493,,Ce-Na2WO4/SiO2,CeO2,Mn-BaWO4/SiO2,Mn-K2WO4/SiO2,Mn-Na2WO4/SiCnf,Mn-ZnMoO4/SiO2,Ni-Na2WO4/SiO2,TiO2,ZSM-5,Zr-Na2WO4/SiO2,3.596755968729654,1.899266490936279,1.221989008585612,2.8287626520792646,3.3529893620808924,2.4907695706685384,2.666755968729655,2.4583223152160643,1.830733509063721,1.3867559687296538,14.57,7.01,6.07,10.96,12.34,7.61,13.64,2.97,3.28,12.36,10.973244031270346,5.110733509063721,7.291989008585612,8.131237347920736,8.987010637919107,5.119230429331462,10.973244031270346,5.4283223152160645,5.110733509063721,10.973244031270346,10.225269794464111,1.0,0.8431767132084292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069000743329525,0.0574539043009281,0.0372577644884586,,,,,,,,,,,,,,,,,,,,,0.0275824666023254,0.0338825620710849,0.0273085106164217,0.2249941974878311,0.0,0.0,0.0,0.0302415192127227,0.0,0.0013371488312259,0.0,0.0197853110730648,0.0,0.006678594276309,0.0,0.0,0.0080638257786631,0.0,0.0,0.0143803283572196,0.0944726392626762,1.2101837396621704,0.0062517081387341,0.1145156100392341,0.0171553418040275,0.0028808175120502,0.0,0.0185611508786678,0.0,0.0088869668543338,0.1532143801450729,0.648274838924408,0.0127826025709509,0.006831869482994,0.0158777423202991,0.0019403303740546,0.0011680942261591,0.0,0.0067973560653626,0.0112940901890397,0.0,0.3151361644268036,0.0526507645845413,0.0107245398685336,0.0024214580189436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost,one_hot,no,49,0,10,221,0.5912384118989606,2.4350408000946047,6.635512290816084,,Ce-Na2WO4/SiO2,CeO2,Mn-BaWO4/SiO2,Mn-K2WO4/SiO2,Mn-Na2WO4/SiCnf,Mn-ZnMoO4/SiO2,Ni-Na2WO4/SiO2,TiO2,ZSM-5,Zr-Na2WO4/SiO2,3.7707617950439456,2.401419410705566,1.1355029869079587,3.1514410591125497,3.2195700073242186,2.082020626068116,2.840761795043946,2.859587936401367,1.3285805892944338,1.5607617950439447,14.57,7.01,6.07,10.96,12.34,7.61,13.64,2.97,3.28,12.36,10.799238204956056,4.608580589294434,7.205502986907959,7.808558940887451,9.12042999267578,5.527979373931885,10.799238204956056,5.829587936401367,4.608580589294434,10.799238204956056,7.7723069190979,1.0,0.8431767132084292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2286611497402191,0.0278382897377014,,,,,,,,,,,,,,,,,,,,,0.0,0.0242308638989925,0.0116720627993345,0.0790214985609054,0.0,0.0,0.0,0.0338216461241245,0.0,0.0,0.0,0.0028585984837263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1677455455064773,0.0504979565739631,1.2947311401367188,0.0,0.0688991770148277,0.0099117932841181,0.0,0.0,0.0072871572338044,0.0,0.0105648534372448,0.0483784712851047,0.7795988321304321,0.0,0.0067360000684857,0.0071921795606613,0.0,0.0037990692071616,0.0,0.0030654738657176,0.0140199465677142,0.0,0.3546308875083923,0.1587554961442947,0.006763522978872,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost,invariant,no,49,0,10,221,0.5913722806338543,2.318225566864014,6.633339171663991,,Ce-Na2WO4/SiO2,CeO2,Mn-BaWO4/SiO2,Mn-K2WO4/SiO2,Mn-Na2WO4/SiCnf,Mn-ZnMoO4/SiO2,Ni-Na2WO4/SiO2,TiO2,ZSM-5,Zr-Na2WO4/SiO2,3.366310424804688,2.7132599449157717,0.7334024238586423,4.156597576141358,3.311448898315429,2.9651354408264163,2.436310424804688,1.3267400550842283,1.0167400550842287,1.156310424804687,14.57,7.01,6.07,10.96,12.34,7.61,13.64,2.97,3.28,12.36,11.203689575195312,4.2967400550842285,6.803402423858643,6.803402423858643,9.02855110168457,4.644864559173584,11.203689575195312,4.2967400550842285,4.2967400550842285,11.203689575195312,7.587346076965332,1.0,0.9100150702748984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1104488745331764,1.8236589431762693,0.0,0.0,0.0,0.0,0.0,0.1472525894641876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2252363860607147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8404520153999329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0344527587294578,0.0,0.7336044907569885,0.0,0.0,0.0
xgboost,base+atom_numbers+support,yes,49,0,10,222,-1.1383290929182528,2.7683943096796675,12.72412940573916,,BEA,Cu-Na2WO4/SiO2,Mn-CaWO4/SiO2,Mn-K2WO4/SiO2,Mn-Li2MoO4/SiO2,Mn-Na2MoO4/SiO2,Mn-Na2WO4/Al2O3,Mn-Na2WO4/BEA,Mn-Na2WO4/MgO,Y-Na2WO4/SiO2,1.9825927543640136,6.039865417480469,7.181045576731363,0.6589544232686375,4.33294303894043,3.1289511299133297,1.422550013860067,1.8225500138600677,0.1713070138295496,0.9431837145487468,3.07,6.08,3.12,10.96,5.67,6.94,6.78,6.38,8.16,10.11,5.052592754364014,12.119865417480469,10.301045576731363,10.301045576731363,10.00294303894043,10.06895112991333,8.202550013860067,8.202550013860067,8.33130701382955,11.053183714548746,12.540846347808838,0.3333333333333333,0.3170790653259341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2764598429203033,0.2594120502471924,0.242259070277214,1.2560523748397827,1.216143012046814,1.149761438369751,1.1842187643051147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
