n_train_catalysts,seed,mean_train_yield,test_mae
5.0,0.0,27.069074074074074,11.237357681755832
5.0,1.0,29.115462962962965,11.969956618655694
5.0,2.0,30.045925925925925,10.25714609053498
5.0,3.0,31.123425925925922,10.746860168038408
5.0,4.0,28.55546296296296,11.354562757201647
5.0,5.0,30.803240740740748,10.823700703017835
5.0,6.0,23.95777777777778,12.018064814814815
5.0,7.0,33.539907407407405,9.445545696159122
5.0,8.0,29.2787962962963,11.953755229766802
5.0,9.0,26.927685185185183,9.308304526748971
5.0,10.0,30.04861111111111,10.251804269547325
5.0,11.0,26.140370370370373,12.622226680384086
5.0,12.0,24.387777777777778,9.493319958847737
5.0,13.0,28.39787037037037,9.06980075445816
5.0,14.0,27.59740740740741,7.9651622085048
5.0,15.0,28.36509259259259,10.104750000000001
5.0,16.0,31.577407407407414,11.688177640603566
5.0,17.0,32.29342592592592,9.21010776748971
5.0,18.0,29.098055555555554,12.579128086419754
5.0,19.0,29.054444444444446,9.972265432098764
5.0,20.0,32.873518518518516,10.719171639231824
5.0,21.0,31.36092592592593,13.129369170096021
5.0,22.0,33.39407407407407,10.46520438957476
5.0,23.0,29.315277777777776,10.713373199588478
5.0,24.0,28.697685185185186,12.346401748971193
5.0,25.0,30.298796296296295,12.69996656378601
5.0,26.0,25.704814814814817,11.76036488340192
5.0,27.0,30.16453703703704,10.767850051440329
5.0,28.0,28.768888888888892,11.14933024691358
5.0,29.0,33.711666666666666,10.236966049382715
5.0,30.0,30.157222222222224,10.176633744855968
5.0,31.0,27.78592592592593,9.289011316872429
5.0,32.0,29.134999999999998,12.437078703703705
5.0,33.0,26.499351851851852,12.094329989711934
5.0,34.0,28.26824074074074,12.552565500685871
5.0,35.0,27.10416666666667,7.741226851851851
5.0,36.0,25.97425925925926,14.178504801097393
5.0,37.0,28.07888888888889,12.501622427983538
5.0,38.0,28.268981481481482,8.910045438957477
5.0,39.0,26.780185185185182,14.3222018175583
5.0,40.0,26.94685185185185,10.231463477366253
5.0,41.0,27.40212962962963,11.305615054869685
5.0,42.0,25.91185185185185,11.325904663923184
5.0,43.0,28.652685185185188,8.219680898491085
5.0,44.0,32.67111111111112,12.540353909465022
5.0,45.0,26.886296296296294,11.55004046639232
5.0,46.0,34.16962962962963,12.270373113854594
5.0,47.0,29.76,8.88823148148148
5.0,48.0,27.460833333333333,12.576459876543211
5.0,49.0,29.06685185185185,8.76653206447188
5.0,50.0,26.381481481481483,10.769274691358024
5.0,51.0,23.604166666666668,12.875856481481481
5.0,52.0,27.437870370370373,10.0651951303155
5.0,53.0,32.06601851851852,11.728730795610426
5.0,54.0,27.525185185185183,11.770646433470507
5.0,55.0,24.963518518518516,13.55225960219479
5.0,56.0,32.00592592592593,9.014676268861455
5.0,57.0,28.66083333333333,10.794691358024691
5.0,58.0,27.978148148148147,12.121565157750343
5.0,59.0,30.267685185185183,9.76494135802469
5.0,60.0,30.549074074074074,8.143774005486968
5.0,61.0,29.714907407407406,12.122810528120713
