seed,n_train_catalysts,n_train_samples,n_test_samples,cv_mae_mean,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse,hp_n_estimators,hp_learning_rate,hp_max_depth,hp_subsample,hp_colsample_bytree,hp_reg_alpha,hp_reg_lambda,hp_gamma,hp_min_child_weight,ranking_top_3_accuracy,ranking_spearman_corr
43,10,2160,2160,9.14773372232914,0.8475290114260177,2.7182284806423853,0.0552557464878376,-0.2613953611946524,9.569140916400483,0.1263412293645923,700,0.05,10,0.7,0.8,0.5,0.5,0.0,2,0.3333333333333333,-0.1823716631040193
5,10,2160,2160,8.82813827920843,0.8776680397264947,2.08567149416647,0.0440365513752402,-0.1501012187212851,11.557238780348388,0.1531364753942301,100,0.05,10,0.7,0.6,0.0,0.5,0.0,3,0.0,-0.5393939393939393
57,10,2160,2160,7.685674754248725,0.5842001163771162,4.9286063241958615,0.0811377054069803,0.071258900027513,10.253433938379642,0.135072849936344,100,0.02,10,0.9,0.8,0.5,1.0,0.0,1,0.0,-0.2484848484848484
2,10,2160,2160,10.427868287651629,0.6213073743127249,5.9830189204216,0.0885071095537841,0.0798475841570127,9.802015822640172,0.1288253187358071,100,0.02,6,0.9,0.6,0.5,0.5,0.0,2,0.6666666666666666,0.5636363636363636
71,10,2160,2160,9.963211951079192,-7.36500624798353e-06,9.25113135231866,0.1195287121025622,-0.0119411293532256,11.196959797894513,0.143845534414062,700,0.3,6,0.7,0.8,0.0,0.5,10.0,3,0.0,0.0
38,10,2160,2160,9.767065006273764,0.768188186091277,3.5045774833250927,0.0641865025361062,0.0436849477699021,8.579321302749493,0.1158841911335715,100,0.05,10,0.7,0.6,0.5,0.5,0.0,3,0.3333333333333333,0.1337392196096141
15,10,2160,2160,10.184803853388186,0.6215032472267543,6.076052575773663,0.09034637412612,-0.0458448336794112,9.922081265008009,0.1248373825616813,100,0.02,6,0.7,0.6,0.0,0.5,0.0,3,0.0,-0.406060606060606
41,10,2160,2160,11.136776856669671,-8.91731033769716e-06,10.484530081572355,0.1381010561646179,-8.031084257620336e-07,10.931507735075774,0.1458014896778131,350,0.3,6,0.9,0.6,0.0,2.0,10.0,1,0.0,0.0
10,10,2160,2160,12.678680483146948,0.5480884044808214,7.386046679726353,0.1075529531207063,0.1139300725970219,9.58335143548471,0.1261242517262204,100,0.02,10,0.7,0.6,0.5,2.0,0.0,3,0.6666666666666666,0.5757575757575757
51,10,2160,2160,10.87994537538952,0.6861664681430003,4.70082047229096,0.0818335891166214,0.0092016395937928,12.070282846203558,0.149209018765477,350,0.02,10,0.7,0.6,0.5,0.5,0.0,3,0.3333333333333333,0.1155020532992122
66,10,2160,2160,9.316654996518736,-4.430062373383947e-06,8.873461856842042,0.1163337501965411,-0.0004131194024914,10.103918617389825,0.1347777061243029,350,0.1,10,0.9,0.6,0.0,1.0,10.0,3,0.0,0.0
11,10,2160,2160,8.711453658077453,0.8639891045962155,2.9191643792611583,0.0483835003346213,0.0227322020132291,11.980148819111012,0.1537507833888547,100,0.02,10,0.9,0.8,0.0,0.5,0.0,1,0.3333333333333333,0.2484848484848484
35,10,2160,2160,9.500246907163548,0.7520096680440588,4.318930097906678,0.0688306244859896,-0.0066446527557912,7.520982627692047,0.10164123138156,100,0.02,10,0.7,0.6,0.0,1.0,0.0,1,0.0,-0.1393939393939393
32,10,2160,2160,11.35043215778139,0.6614140522296166,4.864421952085364,0.0842977202380557,0.0360104303791806,10.933206900755565,0.1518504039540664,350,0.02,6,0.7,0.6,0.5,1.0,0.0,2,0.0,-0.2735574946560291
0,10,2160,2160,11.494770835858803,0.489449812076426,7.241060089093668,0.1066489875250025,0.1378478184861885,9.901969377464718,0.1316649580215974,100,0.02,6,0.7,0.6,0.0,1.0,0.0,1,0.6666666666666666,0.5878787878787878
25,10,2160,2160,8.290999704113714,0.9373234203567444,1.2996071762343246,0.0301342255903575,-0.2783356239849803,15.001969395219865,0.1824123706472138,350,0.3,10,0.9,0.8,0.5,1.0,0.0,2,0.0,-0.3575757575757575
4,10,2160,2160,9.136201361064558,0.7749742006776444,3.107003062844828,0.0612822868494815,0.1189490987421619,9.53969640466902,0.1319713156782773,350,0.02,10,0.9,0.6,0.5,0.5,0.0,2,0.3333333333333333,-0.0666666666666666
18,10,2160,2160,9.250198030383498,0.4979532672134517,6.162148217006966,0.0986181469531864,0.0636694322277838,11.85165882613924,0.1531332756205048,100,0.02,6,0.9,0.8,0.0,2.0,0.0,2,0.6666666666666666,0.1272727272727272
50,10,2160,2160,7.639544457329643,0.925260734492354,1.189636936907967,0.0289117018636369,0.0009260377651775,10.24883852698185,0.1349097801365146,100,0.3,6,0.7,0.6,0.0,2.0,0.0,2,0.0,-0.1636363636363636
31,10,2160,2160,11.62231186553284,0.8289071755092247,2.986328349281965,0.0641803426768838,-0.0586694796860753,9.392966665691798,0.1224344212325726,350,0.3,10,0.9,0.8,0.5,1.0,0.0,1,0.6666666666666666,0.4181818181818181
22,10,2160,2160,5.686526648115229,0.8888469954169105,1.3210203329832468,0.0304062253191123,0.1471685634105498,9.19628085701554,0.1293259860493168,350,0.1,6,0.7,0.6,0.5,2.0,0.0,1,0.3333333333333333,0.5272727272727272
9,10,2160,2160,10.216868366135492,0.6987088485127011,4.000904027631989,0.0749188432721894,0.0388521351021291,8.584240058881264,0.1139928643678194,100,0.05,6,0.7,0.6,0.0,0.5,0.0,3,0.3333333333333333,0.0787878787878787
49,10,2160,2160,6.494861717489032,0.9319963364461112,1.1773270186450746,0.0270567121720518,-0.0682672085011983,8.503760557836959,0.1208897259962349,700,0.02,6,0.7,0.8,0.5,0.5,0.0,2,0.0,-0.0909090909090908
30,10,2160,2160,8.18193412233282,0.7225700838149409,3.418276611448232,0.0666852749146059,0.1191552384233632,9.428671270653057,0.1208555538204291,100,0.05,6,0.7,0.6,0.0,1.0,0.0,1,0.6666666666666666,0.5030303030303029
88,10,2160,2160,10.919883543297097,0.787486380580067,3.658878720223696,0.0700478997201961,0.0329591654564324,11.533099225936112,0.1475660409235618,100,0.05,10,0.9,0.6,0.0,0.5,0.0,2,0.3333333333333333,0.0181818181818181
21,10,2160,2160,9.984567945709935,0.837827822925684,3.165586388287721,0.0524821021865229,-0.0635579287934045,13.045832864796674,0.1703040031921868,100,0.02,10,0.9,0.8,0.0,0.5,0.0,1,0.0,-0.3696969696969697
14,10,2160,2160,10.194598852793376,0.7147690948362877,3.7196858372953208,0.067975501153346,-0.0668364966206405,8.624818698653469,0.1130047291879074,100,0.05,6,0.7,0.6,0.5,2.0,0.0,3,0.0,0.0181818181818181
86,10,2160,2160,8.315279283435256,0.7746702010281473,2.6115516064122866,0.0547316313179475,0.0551764472094179,11.523026236957977,0.1463868813532645,350,0.05,6,0.7,0.6,0.5,2.0,0.0,3,0.3333333333333333,0.5272727272727272
54,10,2160,2160,12.601315033329582,0.7416012587035787,4.862504528488695,0.0865610284768409,-0.0987108907543021,11.960341649812785,0.1555033006273794,350,0.05,6,0.7,0.6,0.5,0.5,0.0,3,0.3333333333333333,0.406060606060606
34,10,2160,2160,11.417477067223302,0.5200613455779024,7.230392580429713,0.1045445161867873,0.0496035526217352,12.19831066246386,0.1527364560196554,100,0.02,6,0.9,0.8,0.5,2.0,0.0,1,0.3333333333333333,0.4437710468864471
62,10,2160,2160,12.423476524794545,0.524741488307649,7.42443982274444,0.1136645663990936,-0.1798755786092563,7.603195005876047,0.1004419053894279,100,0.02,6,0.7,0.8,0.0,1.0,0.0,2,0.3333333333333333,-0.0424242424242424
44,10,2160,2160,10.0039454347116,0.6872329653049026,4.022585107421985,0.0775512920741131,0.0857290430026106,12.643629014668642,0.1597038693712719,350,0.02,6,0.7,0.6,0.5,2.0,0.0,2,0.6666666666666666,0.4909090909090908
87,10,2160,2160,10.795798797778508,0.8259307462038815,3.392702913087344,0.0630723010692986,-0.1116257924059134,11.811640561863229,0.1583096205140194,100,0.1,10,0.7,0.8,0.5,2.0,0.0,3,0.3333333333333333,0.0545454545454545
6,10,2160,2160,9.906662509706283,-1.7904652937605903e-05,9.66082776175605,0.1281016215066559,-0.0211682551759593,10.484249162320738,0.1348084212173635,700,0.3,10,0.7,0.8,0.0,2.0,10.0,1,0.0,0.0
13,10,2160,2160,10.84813299143756,-1.1350000672649685e-07,10.527255774250738,0.1448749043378907,-0.1157876606531833,9.600364474543817,0.1244976898546264,350,0.02,6,0.9,0.6,0.5,0.5,10.0,2,0.0,0.0
28,10,2160,2160,11.118413046554284,0.6050787848242118,5.829206969075733,0.0959371816134466,0.0232902886400657,11.124100512663524,0.1470783470703858,350,0.02,6,0.7,0.6,0.5,0.5,0.0,3,0.3333333333333333,0.103030303030303
